period,group,deaths,fitted_long,counterfactual_long,post,fitted_main,counterfactual_main,group_label
2022-08-01,conventional,83.0,78.3793200252404,60.227994575374176,True,,,Conventional roads
2022-09-01,conventional,69.0,71.50008932274382,54.941877404425405,True,,,Conventional roads
2022-10-01,conventional,70.0,72.74420551361938,55.89787731831921,True,,,Conventional roads
2022-11-01,conventional,67.0,60.595776826233156,46.562819335581,True,,,Conventional roads
2022-12-01,conventional,85.0,67.40182422338128,51.79270121747503,True,,,Conventional roads
2023-01-01,conventional,60.0,55.610104558121826,42.7317444778034,True,,,Conventional roads
2023-02-01,conventional,56.0,55.391402634146566,42.56369022208182,True,,,Conventional roads
2023-03-01,conventional,54.0,61.52730708456359,47.278622934380444,True,,,Conventional roads
2023-04-01,conventional,78.0,59.38189662582321,45.63005326792564,True,,,Conventional roads
2023-05-01,conventional,70.0,62.21690330344187,47.80852032716757,True,,,Conventional roads
2023-06-01,conventional,72.0,70.33881432581113,54.04953406445692,True,,,Conventional roads
2023-07-01,conventional,72.0,83.56065387034998,64.20941909673988,True,,,Conventional roads
2023-08-01,conventional,87.0,78.50303534661684,60.323059519830835,True,,,Conventional roads
2023-09-01,conventional,69.0,71.61294634327115,55.02859864694096,True,,,Conventional roads
2023-10-01,conventional,78.0,72.85902626940666,55.98610752820714,True,,,Conventional roads
2023-11-01,conventional,72.0,60.69142228477627,46.636314922892026,True,,,Conventional roads
2023-12-01,conventional,81.0,67.50821246893473,51.874451743940554,True,,,Conventional roads
2024-01-01,conventional,71.0,55.69788054233513,42.79919302799935,True,,,Conventional roads
2024-02-01,conventional,53.0,55.478833415329255,42.6308735124331,True,,,Conventional roads
2024-03-01,conventional,62.0,61.624422887136795,47.35324835890159,True,,,Conventional roads
2024-04-01,conventional,57.0,59.47562607413483,45.70207656058303,True,,,Conventional roads
2024-05-01,conventional,65.0,62.31510757702772,47.883982151216344,True,,,Conventional roads
2024-06-01,conventional,60.0,70.44983836910153,54.134846816275605,True,,,Conventional roads
2024-07-01,conventional,77.0,83.69254750179084,64.31076839291123,True,,,Conventional roads
2024-08-01,conventional,101.0,78.6269459424705,60.41827451649708,True,,,Conventional roads
2024-09-01,conventional,81.0,71.72598149933933,55.11545677181763,True,,,Conventional roads
2024-10-01,conventional,68.0,72.97402826032965,56.074477002237195,True,,,Conventional roads
2024-11-01,conventional,57.0,60.78721871182279,46.70992651695332,True,,,Conventional roads
2024-12-01,conventional,75.0,67.61476863959874,51.956331306900026,True,,,Conventional roads
2016-01-01,motorway_dual,36.0,36.888351187701815,36.888351187701815,False,36.51497379796791,36.51497379796791,Motorways and dual carriageways
2016-02-01,motorway_dual,33.0,36.743277671995806,36.743277671995806,False,38.185058251051245,38.185058251051245,Motorways and dual carriageways
2016-03-01,motorway_dual,49.0,40.81346239866896,40.81346239866896,False,42.13860932316965,42.13860932316965,Motorways and dual carriageways
2016-04-01,motorway_dual,47.0,39.39032796882685,39.39032796882685,False,37.77944284146248,37.77944284146248,Motorways and dual carriageways
2016-05-01,motorway_dual,30.0,41.27089846540226,41.27089846540226,False,38.8173396228212,38.8173396228212,Motorways and dual carriageways
2016-06-01,motorway_dual,49.0,46.65847880694407,46.65847880694407,False,45.66745837978956,45.66745837978956,Motorways and dual carriageways
2016-07-01,motorway_dual,47.0,55.42904063814205,55.42904063814205,False,55.63126748083457,55.63126748083457,Motorways and dual carriageways
2016-08-01,motorway_dual,58.0,52.07412502056937,52.07412502056937,False,51.89483906794261,51.89483906794261,Motorways and dual carriageways
