year,group,label,series_column,deaths_30d,has_km_denominator
2017,other,Other vehicles,Otros,36,False
2018,bicycle,Bicycles,Bicicletas,58,False
2018,vmp,Personal mobility vehicles,VMP,,False
2018,moped,Mopeds,Ciclomotores,62,True
2018,motorcycle,Motorcycles,Motocicletas,359,True
2018,car,Cars,Turismos,732,True
2018,van_light_truck,"Vans and trucks up to 3,500 kg",Camiones hasta 3.500 kg y furgonetas,93,True
2018,heavy_truck,"Trucks over 3,500 kg",Camiones más de 3.500 kg,58,True
2018,bus,Buses,Autobuses,12,True
2018,other,Other vehicles,Otros,46,False
2019,bicycle,Bicycles,Bicicletas,80,False
2019,vmp,Personal mobility vehicles,VMP,,False
2019,moped,Mopeds,Ciclomotores,49,True
2019,motorcycle,Motorcycles,Motocicletas,417,True
2019,car,Cars,Turismos,641,True
2019,van_light_truck,"Vans and trucks up to 3,500 kg",Camiones hasta 3.500 kg y furgonetas,86,True
2019,heavy_truck,"Trucks over 3,500 kg",Camiones más de 3.500 kg,55,True
2019,bus,Buses,Autobuses,3,True
2019,other,Other vehicles,Otros,43,False
2020,bicycle,Bicycles,Bicicletas,71,False
2020,vmp,Personal mobility vehicles,VMP,8,False
2020,moped,Mopeds,Ciclomotores,32,True
2020,motorcycle,Motorcycles,Motocicletas,313,True
2020,car,Cars,Turismos,544,True
2020,van_light_truck,"Vans and trucks up to 3,500 kg",Camiones hasta 3.500 kg y furgonetas,57,True
2020,heavy_truck,"Trucks over 3,500 kg",Camiones más de 3.500 kg,45,True
2020,bus,Buses,Autobuses,3,True
2020,other,Other vehicles,Otros,37,False
2021,bicycle,Bicycles,Bicicletas,63,False
2021,vmp,Personal mobility vehicles,VMP,9,False
2021,moped,Mopeds,Ciclomotores,38,True
2021,motorcycle,Motorcycles,Motocicletas,357,True
2021,car,Cars,Turismos,611,True
2021,van_light_truck,"Vans and trucks up to 3,500 kg",Camiones hasta 3.500 kg y furgonetas,83,True
2021,heavy_truck,"Trucks over 3,500 kg",Camiones más de 3.500 kg,33,True
2021,bus,Buses,Autobuses,5,True
2021,other,Other vehicles,Otros,33,False
2022,bicycle,Bicycles,Bicicletas,81,False
2022,vmp,Personal mobility vehicles,VMP,8,False
2022,moped,Mopeds,Ciclomotores,36,True
2022,motorcycle,Motorcycles,Motocicletas,401,True
2022,car,Cars,Turismos,681,True
2022,van_light_truck,"Vans and trucks up to 3,500 kg",Camiones hasta 3.500 kg y furgonetas,98,True
2022,heavy_truck,"Trucks over 3,500 kg",Camiones más de 3.500 kg,51,True
2022,bus,Buses,Autobuses,13,True
2022,other,Other vehicles,Otros,29,False
2023,bicycle,Bicycles,Bicicletas,90,False
2023,vmp,Personal mobility vehicles,VMP,10,False
2023,moped,Mopeds,Ciclomotores,30,True
2023,motorcycle,Motorcycles,Motocicletas,455,True
2023,car,Cars,Turismos,703,True
2023,van_light_truck,"Vans and trucks up to 3,500 kg",Camiones hasta 3.500 kg y furgonetas,63,True
2023,heavy_truck,"Trucks over 3,500 kg",Camiones más de 3.500 kg,42,True
2023,bus,Buses,Autobuses,6,True
2023,other,Other vehicles,Otros,54,False
2024,bicycle,Bicycles,Bicicletas,90,False
2024,vmp,Personal mobility vehicles,VMP,19,False
2024,moped,Mopeds,Ciclomotores,37,True
2024,motorcycle,Motorcycles,Motocicletas,441,True
2024,car,Cars,Turismos,698,True
2024,van_light_truck,"Vans and trucks up to 3,500 kg",Camiones hasta 3.500 kg y furgonetas,102,True
2024,heavy_truck,"Trucks over 3,500 kg",Camiones más de 3.500 kg,39,True
2024,bus,Buses,Autobuses,6,True
2024,other,Other vehicles,Otros,33,False
