band,residents,year,licence_holders,driver_deaths,driver_hospitalised,drivers_involved,licence_share,travel_share,travel_share_low,travel_share_high,esra_national_share,travel_capped,travel_weighted_drivers,travel_weighted_drivers_low,travel_weighted_drivers_high,deaths_per_million_residents,deaths_per_million_residents_low,deaths_per_million_residents_high,deaths_per_100k_licence,deaths_per_100k_licence_low,deaths_per_100k_licence_high,deaths_per_100k_travel,deaths_per_100k_travel_low,deaths_per_100k_travel_high,involved_per_10k_licence,involved_per_10k_licence_low,involved_per_10k_licence_high,deaths_per_1k_involved,deaths_per_1k_involved_low,deaths_per_1k_involved_high,sex
25-34,5451139,2017,4229436,227.0,1269.0,38458.0,0.7758811507099709,0.7758811507099709,0.7758811507099709,0.7758811507099709,0.802,True,4229436.0,4229436.0,4229436.0,41.64267321013095,36.401277042515076,47.4268373131138,5.3671458794978815,4.691604765653354,6.112642028964851,5.3671458794978815,4.691604765653354,6.112642028964851,90.9293816007619,90.02284263976712,91.84277561168547,5.902543033959124,5.159613628796572,6.722405806962656,total
35-44,7646122,2017,6355137,234.0,1307.0,42603.0,0.8311582001961255,0.8311582001961255,0.8311582001961255,0.8311582001961255,0.802,True,6355137.0,6355137.0,6355137.0,30.603749194689804,26.80789157171126,34.78643600961005,3.6820606699745415,3.2253657084037064,4.185296613978135,3.6820606699745415,3.225365708403707,4.185296613978135,67.03710714654932,66.40203308332265,67.67674295333327,5.4925709457080485,4.81131398070737,6.243253613000766,total
45-54,7306921,2017,5952867,231.0,1267.0,33742.0,0.8146888408948174,0.8146888408948174,0.8123979957469403,0.8146888408948174,0.802,True,5952867.0,5936127.975481229,5952867.0,31.613863075842755,27.668191370544722,35.96437690701356,3.880483135269106,3.396166730374658,4.414492392888542,3.880483135269106,3.3961667303746585,4.426940624582285,56.681931580194885,56.07873044810535,57.290003704357616,6.846067215932665,5.991621378621659,7.788182706234735,total
55-64,5838780,2017,4436130,179.0,713.0,19241.0,0.7597700204494775,0.6396998765158181,0.6180046281998595,0.65936103889695,0.802,False,3735066.845003028,3608393.0630407752,3849864.0466907336,30.657089323454557,26.330342881589,35.49194302394654,4.035048567106915,3.46556749712394,4.671406092458034,4.792417577197467,3.9933119077883688,5.742989842540246,43.37339077078445,42.76267376904246,43.9906480759305,9.303050776986643,7.990077408147406,10.770211895918019,total
65-74,4460339,2017,2666710,108.0,336.0,8880.0,0.5978715967553139,0.20256645348686317,0.19569646699754747,0.20879232921575544,0.802,False,903515.0525791418,872872.5839113739,931284.5689018734,24.213406200739453,19.862726422539566,29.233811665503197,4.049934188569435,3.3222395126873074,4.889647179119546,11.953314965999411,9.513149499862337,14.938344117305686,33.299458883793136,32.61042336883946,33.999386808617665,12.162162162162163,9.97685735459276,14.683863771430051,total
75+,4380026,2017,1318779,84.0,172.0,4350.0,0.3010893086022777,0.20256645348686317,0.19569646699754747,0.20879232921575544,0.802,False,887246.3330002513,857155.6135573998,914515.8305655684,19.177968349959567,15.29709863361222,23.743629779797587,6.369528177200274,5.080585127590446,7.885909297151964,9.467494750409546,7.326465819443478,12.132886272338862,32.985056631929986,32.01204478866025,33.980127762356474,19.310344827586206,15.40268729650253,23.90752086664085,total
15-24,4546056,2018,1680362,115.0,689.0,22023.0,0.3696307304617453,0.3696307304617453,0.3696307304617453,0.3696307304617453,0.802,True,1680362.0,1680362.0,1680362.0,25.29665274690853,20.884981236713394,30.364800525761357,6.84376342716629,5.650228597233712,8.214901528298103,6.84376342716629,5.650228597233712,8.214901528298103,131.06104517955058,129.33574282029878,132.80361110006905,5.221813558552423,4.3111426354742015,6.267996350131252,total
25-34,5378066,2018,4099283,201.0,1095.0,38229.0,0.7622225164213307,0.7622225164213307,0.7622225164213307,0.7622225164213307,0.802,True,4099283.0,4099283.0,4099283.0,37.374029995169266,32.385553728644375,42.91339120026895,4.903296503315336,4.248831939614697,5.630034573335523,4.903296503315336,4.248831939614697,5.630034573335523,93.25777215186169,92.32524617866041,94.1973708605106,5.257788589814015,4.556008407209069,6.03706741371382,total
35-44,7532144,2018,6190231,231.0,1305.0,42641.0,0.8218418288338619,0.8218418288338619,0.8218418288338619,0.8218418288338619,0.802,True,6190231.0,6190231.0,6190231.0,30.66855864678105,26.84086875628666,34.888985244277386,3.7316862650198352,3.2659409407734863,4.245218972826255,3.7316862650198352,3.2659409407734867,4.2452189728262555,68.88434373450684,68.23206008536174,69.54131064735145,5.417321357379048,4.7411948255775425,6.162821248886574,total
45-54,7401997,2018,6073666,230.0,1191.0,35091.0,0.8205442396153363,0.8205442396153363,0.8154051142530232,0.8205442396153363,0.802,True,6073666.0,6035626.209485535,6073666.0,31.072695652267893,27.18642817488466,35.3586237338019,3.7868397768332995,3.3132190639263293,4.309167260789949,3.7868397768332995,3.3132190639263293,4.336325970458654,57.77564982993796,57.17271251661721,58.38336108605146,6.554387164800091,5.734628816255214,7.458448798886623,total
