COD_PROVINCIA|IND_SEXO|EDAD|NUM_PERMISOS|NUM_LICENCIAS|NUM_LICENCIAS_PERMISOS|NUM_PERMISOS_A|NUM_PERMISOS_B|NUM_PERMISOS_C|NUM_PERMISOS_D|NUM_PERMISOS_LCM|NUM_PERMISOS_LVA
07|V|40 a 44 años|31389|0|31389|17045|30829|2576|1029|0|0
07|V|45 a 49 años|41542|0|41542|26171|40224|4305|1763|0|0
07|V|50 a 54 años|42462|1|42462|28386|40947|4882|2418|0|1
07|V|55 a 59 años|37534|0|37534|25621|36040|4660|2451|0|0
07|V|60 a 64 años|31338|1|31338|22097|29906|4127|2023|0|1
07|V|65 a 69 años|25100|4|25100|17999|23836|1848|785|0|4
07|V|70 a 74 años|19981|4|19981|14105|18784|687|271|0|4
07|V|Más de 74 años|31986|14|31986|25978|25846|305|113|0|14
08|M|15 a 17 años|1018|0|1018|1018|0|0|0|0|0
08|M|18 a 20 años|18511|1|18511|2693|17503|20|0|0|1
08|M|21 a 24 años|60783|0|60783|4943|60355|94|7|0|0
08|M|25 a 29 años|92924|0|92924|9300|92374|304|83|0|0
08|M|30 a 34 años|110282|0|110282|19832|109444|417|210|0|0
08|M|35 a 39 años|123677|0|123677|26511|122617|630|440|0|0
08|M|40 a 44 años|146938|0|146938|37451|145196|939|652|0|0
08|M|45 a 49 años|178408|0|178408|53032|174504|1042|691|0|0
08|M|50 a 54 años|167887|0|167887|56300|162447|790|574|0|0
08|M|55 a 59 años|143882|0|143882|41049|139694|657|431|0|0
08|M|60 a 64 años|115774|0|115774|30134|112661|381|187|0|0
08|M|65 a 69 años|92343|0|92343|17971|90214|183|75|0|0
08|M|70 a 74 años|60240|0|60240|8811|58609|60|17|0|0
08|M|Más de 74 años|50255|0|50255|10343|46947|11|0|0|0
08|V|15 a 17 años|3185|16|3195|3185|0|0|0|0|16
08|V|18 a 20 años|30868|11|30875|8438|28265|51|0|0|11
08|V|21 a 24 años|76232|2|76233|14753|75050|751|24|0|2
08|V|25 a 29 años|105940|0|105940|25332|104809|2288|419|0|0
08|V|30 a 34 años|121415|1|121416|44226|119910|3767|951|0|1
08|V|35 a 39 años|136757|0|136757|57575|135157|6384|2175|0|0
08|V|40 a 44 años|164072|0|164072|78749|161802|11156|3896|0|0
