province,age_group,sex,reference,year,Periodo,population
04 Almería,De 0 a 4 años,Mujeres,1 January,2002,1 de enero de 2002,14821
04 Almería,De 0 a 4 años,Total,1 January,2002,1 de enero de 2002,30772
04 Almería,De 10 a 14 años,Hombres,1 January,2002,1 de enero de 2002,18270
04 Almería,De 10 a 14 años,Mujeres,1 January,2002,1 de enero de 2002,16638
04 Almería,De 10 a 14 años,Total,1 January,2002,1 de enero de 2002,34908
04 Almería,De 15 a 19 años,Hombres,1 January,2002,1 de enero de 2002,20189
04 Almería,De 15 a 19 años,Mujeres,1 January,2002,1 de enero de 2002,18428
04 Almería,De 15 a 19 años,Total,1 January,2002,1 de enero de 2002,38617
04 Almería,De 20 a 24 años,Hombres,1 January,2002,1 de enero de 2002,26609
04 Almería,De 20 a 24 años,Mujeres,1 January,2002,1 de enero de 2002,22239
04 Almería,De 20 a 24 años,Total,1 January,2002,1 de enero de 2002,48848
04 Almería,De 25 a 29 años,Hombres,1 January,2002,1 de enero de 2002,27922
04 Almería,De 25 a 29 años,Mujeres,1 January,2002,1 de enero de 2002,23176
04 Almería,De 25 a 29 años,Total,1 January,2002,1 de enero de 2002,51098
04 Almería,De 30 a 34 años,Hombres,1 January,2002,1 de enero de 2002,25398
04 Almería,De 30 a 34 años,Mujeres,1 January,2002,1 de enero de 2002,22307
04 Almería,De 30 a 34 años,Total,1 January,2002,1 de enero de 2002,47705
04 Almería,De 35 a 39 años,Hombres,1 January,2002,1 de enero de 2002,23614
04 Almería,De 35 a 39 años,Mujeres,1 January,2002,1 de enero de 2002,21872
04 Almería,De 35 a 39 años,Total,1 January,2002,1 de enero de 2002,45487
04 Almería,De 40 a 44 años,Hombres,1 January,2002,1 de enero de 2002,20543
04 Almería,De 40 a 44 años,Mujeres,1 January,2002,1 de enero de 2002,19533
04 Almería,De 40 a 44 años,Total,1 January,2002,1 de enero de 2002,40076
04 Almería,De 45 a 49 años,Hombres,1 January,2002,1 de enero de 2002,16538
04 Almería,De 45 a 49 años,Mujeres,1 January,2002,1 de enero de 2002,15460
04 Almería,De 45 a 49 años,Total,1 January,2002,1 de enero de 2002,31998
04 Almería,De 5 a 9 años,Hombres,1 January,2002,1 de enero de 2002,15975
04 Almería,De 5 a 9 años,Mujeres,1 January,2002,1 de enero de 2002,14922
04 Almería,De 5 a 9 años,Total,1 January,2002,1 de enero de 2002,30897
04 Almería,De 50 a 54 años,Hombres,1 January,2002,1 de enero de 2002,14208
04 Almería,De 50 a 54 años,Mujeres,1 January,2002,1 de enero de 2002,14001
04 Almería,De 50 a 54 años,Total,1 January,2002,1 de enero de 2002,28209
04 Almería,De 55 a 59 años,Hombres,1 January,2002,1 de enero de 2002,11677
04 Almería,De 55 a 59 años,Mujeres,1 January,2002,1 de enero de 2002,12077
04 Almería,De 55 a 59 años,Total,1 January,2002,1 de enero de 2002,23754
04 Almería,De 60 a 64 años,Hombres,1 January,2002,1 de enero de 2002,9663
04 Almería,De 60 a 64 años,Mujeres,1 January,2002,1 de enero de 2002,10545
04 Almería,De 60 a 64 años,Total,1 January,2002,1 de enero de 2002,20208
04 Almería,De 65 a 69 años,Hombres,1 January,2002,1 de enero de 2002,11065
04 Almería,De 65 a 69 años,Mujeres,1 January,2002,1 de enero de 2002,12142
04 Almería,De 65 a 69 años,Total,1 January,2002,1 de enero de 2002,23207
04 Almería,De 70 a 74 años,Hombres,1 January,2002,1 de enero de 2002,9054
04 Almería,De 70 a 74 años,Mujeres,1 January,2002,1 de enero de 2002,11039
04 Almería,De 70 a 74 años,Total,1 January,2002,1 de enero de 2002,20093
04 Almería,De 75 a 79 años,Hombres,1 January,2002,1 de enero de 2002,6567
04 Almería,De 75 a 79 años,Mujeres,1 January,2002,1 de enero de 2002,8487
04 Almería,De 75 a 79 años,Total,1 January,2002,1 de enero de 2002,15054
04 Almería,De 80 a 84 años,Hombres,1 January,2002,1 de enero de 2002,3194
04 Almería,De 80 a 84 años,Mujeres,1 January,2002,1 de enero de 2002,5107
04 Almería,De 80 a 84 años,Total,1 January,2002,1 de enero de 2002,8301
04 Almería,De 85 a 89 años,Hombres,1 January,2002,1 de enero de 2002,1423
04 Almería,De 85 a 89 años,Mujeres,1 January,2002,1 de enero de 2002,2866
04 Almería,De 85 a 89 años,Total,1 January,2002,1 de enero de 2002,4289
04 Almería,Todas las edades,Hombres,1 January,2002,1 de enero de 2002,278435
04 Almería,Todas las edades,Mujeres,1 January,2002,1 de enero de 2002,267095
04 Almería,Todas las edades,Total,1 January,2002,1 de enero de 2002,545531
05 Ávila,90 y más años,Hombres,1 January,2002,1 de enero de 2002,624
05 Ávila,90 y más años,Mujeres,1 January,2002,1 de enero de 2002,1215
05 Ávila,90 y más años,Total,1 January,2002,1 de enero de 2002,1839
05 Ávila,De 0 a 4 años,Hombres,1 January,2002,1 de enero de 2002,2988
05 Ávila,De 0 a 4 años,Mujeres,1 January,2002,1 de enero de 2002,2818
05 Ávila,De 0 a 4 años,Total,1 January,2002,1 de enero de 2002,5806
05 Ávila,De 10 a 14 años,Hombres,1 January,2002,1 de enero de 2002,4053
05 Ávila,De 10 a 14 años,Mujeres,1 January,2002,1 de enero de 2002,3812
05 Ávila,De 10 a 14 años,Total,1 January,2002,1 de enero de 2002,7865
05 Ávila,De 15 a 19 años,Hombres,1 January,2002,1 de enero de 2002,4495
05 Ávila,De 15 a 19 años,Mujeres,1 January,2002,1 de enero de 2002,4366
05 Ávila,De 15 a 19 años,Total,1 January,2002,1 de enero de 2002,8861
05 Ávila,De 20 a 24 años,Hombres,1 January,2002,1 de enero de 2002,5394
05 Ávila,De 20 a 24 años,Mujeres,1 January,2002,1 de enero de 2002,5038
05 Ávila,De 20 a 24 años,Total,1 January,2002,1 de enero de 2002,10432
05 Ávila,De 25 a 29 años,Hombres,1 January,2002,1 de enero de 2002,5753
05 Ávila,De 25 a 29 años,Mujeres,1 January,2002,1 de enero de 2002,5185
05 Ávila,De 25 a 29 años,Total,1 January,2002,1 de enero de 2002,10938
05 Ávila,De 30 a 34 años,Hombres,1 January,2002,1 de enero de 2002,5635
05 Ávila,De 30 a 34 años,Mujeres,1 January,2002,1 de enero de 2002,5279
05 Ávila,De 30 a 34 años,Total,1 January,2002,1 de enero de 2002,10914
